name;region;country;lat;lon;tz_id;localtime;last_updated;temp_c;temp_f;is_day;condition_text;condition_code;wind_mph;wind_kph;wind_degree;pressure_in;precip_in;humidity;cloud;feelslike_c;uv;gust_mph;gust_kph
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:22;21/05/2024 14:15;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:23;21/05/2024 14:15;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:22;21/05/2024 14:15;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:23;21/05/2024 14:15;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:26;21/05/2024 14:15;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:26;21/05/2024 14:15;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:26;21/05/2024 14:15;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:26;21/05/2024 14:15;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:26;21/05/2024 14:15;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:26;21/05/2024 14:15;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:26;21/05/2024 14:15;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:26;21/05/2024 14:15;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:22;21/05/2024 14:15;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:30;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:22;21/05/2024 14:15;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:30;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:22;21/05/2024 14:15;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:30;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:22;21/05/2024 14:15;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:30;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:33;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:34;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:33;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:34;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:33;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:34;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:33;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:34;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:37;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:37;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:37;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:37;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:37;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:37;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:37;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:37;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:41;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:41;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:41;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:41;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:41;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:41;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:41;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:41;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:41;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:46;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:41;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:46;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:41;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:46;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:41;21/05/2024 14:30;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;70;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:46;21/05/2024 14:30;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:49;21/05/2024 14:45;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:50;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:49;21/05/2024 14:45;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:50;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:49;21/05/2024 14:45;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:50;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:49;21/05/2024 14:45;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:53;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:54;21/05/2024 14:45;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:53;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:54;21/05/2024 14:45;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:53;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:54;21/05/2024 14:45;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:53;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:54;21/05/2024 14:45;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:57;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:58;21/05/2024 14:45;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:57;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:58;21/05/2024 14:45;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:57;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:58;21/05/2024 14:45;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 14:57;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 14:58;21/05/2024 14:45;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.4;9.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 15:00;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 15:01;21/05/2024 15:00;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.5;8.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 15:00;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 15:01;21/05/2024 15:00;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.5;8.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 15:00;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 15:01;21/05/2024 15:00;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.5;8.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 15:00;21/05/2024 14:45;23.5;74.3;1;Patchy rain nearby;1063;2.2;3.6;176;29.81;0.0;70;66;25.3;6.0;2.5;4.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 15:05;21/05/2024 15:00;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.5;8.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 15:05;21/05/2024 15:00;21.9;71.4;1;Patchy light drizzle;1150;2.2;3.6;187;29.8;0.01;81;51;21.9;6.0;3.1;5.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 15:05;21/05/2024 15:00;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.5;8.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 15:05;21/05/2024 15:00;21.9;71.4;1;Patchy light drizzle;1150;2.2;3.6;187;29.8;0.01;81;51;21.9;6.0;3.1;5.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 15:05;21/05/2024 15:00;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.5;8.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 15:05;21/05/2024 15:00;21.9;71.4;1;Patchy light drizzle;1150;2.2;3.6;187;29.8;0.01;81;51;21.9;6.0;3.1;5.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 15:05;21/05/2024 15:00;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.5;8.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 15:05;21/05/2024 15:00;21.9;71.4;1;Patchy light drizzle;1150;2.2;3.6;187;29.8;0.01;81;51;21.9;6.0;3.1;5.0
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 15:09;21/05/2024 15:00;32.0;89.6;1;Partly cloudy;1003;11.9;19.1;60;29.71;0.0;63;25;36.5;8.0;16.3;26.3
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 15:09;21/05/2024 15:00;21.9;71.4;1;Patchy light drizzle;1150;2.2;3.6;187;29.8;0.01;81;51;21.9;6.0;3.1;5.0
